"Row.names"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"X041017C1d150S1"	"X041017E1d150S2"	"X041917E1d14S1"	"X041917F1d14S2"
"75"	"Wipf2"	69.7262316071914	-2.71945599437086	0.589284170669046	-4.61484650314519	3.93385947732793e-06	0.000280090794785749	132.480513126151	125.066085974935	10.0268631866091	11.3314641410711
"76"	"Bcdin3d"	169.795828257354	2.37271253725218	0.515438179973249	4.60329216856874	4.15864178042179e-06	0.000292199304045426	25.7847978567676	57.4377580033033	348.934838893996	247.02591827535
"77"	"Th"	53.5961511028013	2.8751596435199	0.626051152432576	4.59253150856479	4.37901369265447e-06	0.000303687443100973	6.22391672404735	5.55849270999709	106.284749778056	96.3174451991045
"78"	"Mmp10"	88.4953831733465	3.18728064327813	0.69593293900948	4.57986749098926	4.65270609455658e-06	0.00031853141724272	0	0	14.0376084612527	339.943924232133
"79"	"Casp4"	1837.05567297765	1.49272815576613	0.326351206341424	4.57399306869562	4.785156756984e-06	0.000323452368130311	1100.7441291958	736.500284074614	3218.62308290151	2292.35519573869
"80"	"Fh1"	410.753538295027	-2.24789554152557	0.491833079205181	-4.57044399119767	4.86691987151809e-06	0.000324866901423832	779.767852427075	635.520999843001	174.467419446998	53.2578814630342
"81"	"Rrn3"	685.531102662862	-1.38374551005254	0.303158660687459	-4.56442678205097	5.00860960872459e-06	0.000326170430616943	1034.05930715244	975.515470604489	352.94558416864	379.604048725882
"82"	"Spred3"	10393.9418833311	-1.16094555393634	0.254255169303256	-4.56606470231351	4.96965432627304e-06	0.000326170430616943	14547.9607769804	14432.6263215074	5458.62431878998	7136.55611604659
"83"	"Abcb1a"	917.899411206959	-1.59779017902221	0.350343425721108	-4.5606398228638	5.09979907147606e-06	0.000328107554719062	1555.09005005126	1258.99859881434	533.429121527603	324.079874434634
"84"	"Ifnlr1"	420.187714765466	2.19632334485385	0.483893979620922	4.53885238781939	5.65612116448718e-06	0.000356939352559565	95.1370127818666	149.152887718255	386.03423268445	1050.42672587729
"85"	"Stat2"	2214.69538418769	1.17723001582084	0.25942155001648	4.53790371596368	5.68161890778333e-06	0.000356939352559565	1444.83781093956	1214.53065713436	3083.26042988229	3116.15263879456
"86"	"Abca3"	103.435934866034	2.84412250035962	0.629884501369711	4.51530795594264	6.32248201287388e-06	0.000392582022659843	20.4500120932984	2.77924635499855	203.545322688164	186.969158327673
"87"	"Cpd"	1156.08880064347	1.27733981661787	0.2836107781307	4.50384793214457	6.67339671677511e-06	0.000409608488133093	638.396029695142	674.43044881298	1807.84343254562	1503.68529152014
"88"	"Dsp"	73.9522033697556	2.96575421044147	0.660486710594611	4.4902556900373	7.11377270484422e-06	0.000426826362290653	9.78044056636012	0.926415451666182	99.2659455474299	185.836011913566
